LoyaltyId,PurchaseId,ProductId,PurchasedOn,TotalPrice,RewardPointsAdded,ActivityTypeDisplay,Subject
LOYID_1010,PID_1044,ProdID_1044,2018-11-25,124,47,POS Purchase,Purchased a product In-Store
LOYID_1010,PID_1045,ProdID_1045,2019-01-31,35,27,POS Purchase,Purchased a product In-Store
LOYID_1011,PID_1046,ProdID_1046,2018-06-09,58,48,POS Purchase,Purchased a product In-Store
LOYID_1011,PID_1047,ProdID_1047,2018-12-28,75,27,POS Purchase,Purchased a product In-Store
LOYID_1011,PID_1048,ProdID_1048,2019-01-16,41,41,POS Purchase,Purchased a product In-Store
LOYID_1012,PID_1049,ProdID_1049,2017-04-06,78,45,POS Purchase,Purchased a product In-Store
LOYID_1012,PID_1050,ProdID_1050,2017-08-20,54,42,POS Purchase,Purchased a product In-Store
LOYID_1012,PID_1051,ProdID_1051,2018-09-12,48,27,POS Purchase,Purchased a product In-Store
LOYID_1012,PID_1052,ProdID_1052,2018-11-29,172,23,POS Purchase,Purchased a product In-Store
LOYID_1013,PID_1053,ProdID_1053,2019-01-10,53,30,POS Purchase,Purchased a product In-Store
LOYID_1013,PID_1054,ProdID_1054,2019-01-25,185,26,POS Purchase,Purchased a product In-Store
LOYID_1013,PID_1055,ProdID_1055,2019-01-29,180,27,POS Purchase,Purchased a product In-Store
LOYID_1013,PID_1056,ProdID_1056,2019-01-30,175,48,POS Purchase,Purchased a product In-Store
LOYID_1014,PID_1057,ProdID_1057,2017-07-30,176,24,POS Purchase,Purchased a product In-Store
LOYID_1014,PID_1058,ProdID_1058,2018-10-03,91,29,POS Purchase,Purchased a product In-Store
LOYID_1014,PID_1059,ProdID_1059,2018-12-21,47,39,POS Purchase,Purchased a product In-Store
LOYID_1014,PID_1060,ProdID_1060,2019-01-19,86,20,POS Purchase,Purchased a product In-Store
LOYID_1015,PID_1061,ProdID_1061,2018-11-07,109,30,POS Purchase,Purchased a product In-Store
LOYID_1015,PID_1062,ProdID_1062,2018-11-27,90,20,POS Purchase,Purchased a product In-Store
LOYID_1015,PID_1063,ProdID_1063,2019-01-10,147,43,POS Purchase,Purchased a product In-Store
LOYID_1015,PID_1064,ProdID_1064,2019-01-21,119,23,POS Purchase,Purchased a product In-Store
LOYID_1016,PID_1065,ProdID_1065,2018-07-21,105,36,POS Purchase,Purchased a product In-Store
LOYID_1016,PID_1066,ProdID_1066,2018-11-09,160,48,POS Purchase,Purchased a product In-Store
LOYID_1016,PID_1067,ProdID_1067,2019-01-04,124,26,POS Purchase,Purchased a product In-Store
LOYID_1016,PID_1068,ProdID_1068,2019-02-01,78,21,POS Purchase,Purchased a product In-Store
LOYID_1017,PID_1069,ProdID_1069,2019-01-29,69,42,POS Purchase,Purchased a product In-Store
LOYID_1017,PID_1070,ProdID_1070,2019-01-29,106,29,POS Purchase,Purchased a product In-Store
LOYID_1017,PID_1071,ProdID_1071,2019-02-05,76,20,POS Purchase,Purchased a product In-Store
LOYID_1017,PID_1072,ProdID_1072,2019-02-06,47,34,POS Purchase,Purchased a product In-Store
LOYID_1017,PID_1073,ProdID_1073,2019-02-06,174,41,POS Purchase,Purchased a product In-Store
LOYID_1018,PID_1074,ProdID_1074,2017-03-11,80,26,POS Purchase,Purchased a product In-Store
LOYID_1018,PID_1075,ProdID_1075,2018-02-21,93,32,POS Purchase,Purchased a product In-Store
LOYID_1018,PID_1076,ProdID_1076,2018-06-26,72,20,POS Purchase,Purchased a product In-Store
LOYID_1018,PID_1077,ProdID_1077,2019-01-22,57,24,POS Purchase,Purchased a product In-Store
LOYID_1018,PID_1078,ProdID_1078,2019-01-22,107,36,POS Purchase,Purchased a product In-Store
LOYID_1019,PID_1079,ProdID_1079,2017-05-18,100,33,POS Purchase,Purchased a product In-Store
LOYID_1019,PID_1080,ProdID_1080,2017-05-27,55,47,POS Purchase,Purchased a product In-Store
LOYID_1019,PID_1081,ProdID_1081,2017-06-12,195,48,POS Purchase,Purchased a product In-Store
LOYID_1019,PID_1082,ProdID_1082,2018-12-21,176,49,POS Purchase,Purchased a product In-Store
LOYID_1019,PID_1083,ProdID_1083,2019-02-05,135,35,POS Purchase,Purchased a product In-Store
LOYID_1020,PID_1084,ProdID_1084,2017-01-22,75,24,POS Purchase,Purchased a product In-Store
LOYID_1020,PID_1085,ProdID_1085,2017-10-08,52,49,POS Purchase,Purchased a product In-Store
LOYID_1020,PID_1086,ProdID_1086,2018-02-15,52,46,POS Purchase,Purchased a product In-Store
LOYID_1020,PID_1087,ProdID_1087,2018-05-18,146,40,POS Purchase,Purchased a product In-Store
LOYID_1021,PID_1088,ProdID_1088,2019-01-04,67,49,POS Purchase,Purchased a product In-Store
LOYID_1021,PID_1089,ProdID_1089,2019-01-21,134,28,POS Purchase,Purchased a product In-Store
LOYID_1021,PID_1090,ProdID_1090,2019-01-31,101,38,POS Purchase,Purchased a product In-Store
LOYID_1021,PID_1091,ProdID_1091,2019-02-01,148,30,POS Purchase,Purchased a product In-Store
LOYID_1022,PID_1092,ProdID_1092,2018-11-26,54,34,POS Purchase,Purchased a product In-Store
LOYID_1022,PID_1093,ProdID_1093,2018-12-23,187,42,POS Purchase,Purchased a product In-Store
LOYID_1022,PID_1094,ProdID_1094,2019-01-13,58,31,POS Purchase,Purchased a product In-Store
LOYID_1022,PID_1095,ProdID_1095,2019-01-28,143,28,POS Purchase,Purchased a product In-Store
LOYID_1022,PID_1096,ProdID_1096,2019-02-06,195,25,POS Purchase,Purchased a product In-Store
LOYID_1023,PID_1097,ProdID_1097,2018-11-02,168,35,POS Purchase,Purchased a product In-Store
LOYID_1023,PID_1098,ProdID_1098,2018-11-30,126,43,POS Purchase,Purchased a product In-Store
LOYID_1023,PID_1099,ProdID_1099,2019-01-04,119,24,POS Purchase,Purchased a product In-Store
LOYID_1023,PID_1100,ProdID_1100,2019-01-05,82,47,POS Purchase,Purchased a product In-Store
LOYID_1023,PID_1101,ProdID_1101,2019-01-29,66,37,POS Purchase,Purchased a product In-Store
LOYID_1024,PID_1102,ProdID_1102,2018-03-07,174,46,POS Purchase,Purchased a product In-Store
LOYID_1024,PID_1103,ProdID_1103,2018-03-14,151,20,POS Purchase,Purchased a product In-Store
LOYID_1024,PID_1104,ProdID_1104,2018-06-22,116,32,POS Purchase,Purchased a product In-Store
LOYID_1024,PID_1105,ProdID_1105,2018-12-18,66,20,POS Purchase,Purchased a product In-Store
LOYID_1025,PID_1106,ProdID_1106,2018-03-26,88,27,POS Purchase,Purchased a product In-Store
LOYID_1025,PID_1107,ProdID_1107,2019-02-04,39,37,POS Purchase,Purchased a product In-Store
LOYID_1025,PID_1108,ProdID_1108,2019-02-06,79,41,POS Purchase,Purchased a product In-Store
LOYID_1025,PID_1109,ProdID_1109,2019-02-06,139,43,POS Purchase,Purchased a product In-Store
LOYID_1026,PID_1110,ProdID_1110,2018-12-10,171,22,POS Purchase,Purchased a product In-Store
LOYID_1026,PID_1111,ProdID_1111,2019-01-29,36,27,POS Purchase,Purchased a product In-Store
LOYID_1026,PID_1112,ProdID_1112,2019-02-02,132,45,POS Purchase,Purchased a product In-Store
LOYID_1027,PID_1113,ProdID_1113,2019-02-05,114,37,POS Purchase,Purchased a product In-Store
LOYID_1027,PID_1114,ProdID_1114,2019-02-05,65,47,POS Purchase,Purchased a product In-Store
LOYID_1027,PID_1115,ProdID_1115,2019-02-05,57,44,POS Purchase,Purchased a product In-Store
LOYID_1028,PID_1116,ProdID_1116,2017-12-10,138,31,POS Purchase,Purchased a product In-Store
LOYID_1028,PID_1117,ProdID_1117,2018-06-29,95,45,POS Purchase,Purchased a product In-Store
LOYID_1028,PID_1118,ProdID_1118,2018-10-17,129,35,POS Purchase,Purchased a product In-Store
LOYID_1029,PID_1119,ProdID_1119,2017-04-11,53,49,POS Purchase,Purchased a product In-Store
LOYID_1029,PID_1120,ProdID_1120,2017-07-16,172,35,POS Purchase,Purchased a product In-Store
LOYID_1029,PID_1121,ProdID_1121,2018-11-03,36,34,POS Purchase,Purchased a product In-Store
LOYID_1029,PID_1122,ProdID_1122,2018-11-04,71,38,POS Purchase,Purchased a product In-Store
LOYID_1030,PID_1123,ProdID_1123,2018-01-08,125,22,POS Purchase,Purchased a product In-Store
LOYID_1030,PID_1124,ProdID_1124,2018-06-20,71,35,POS Purchase,Purchased a product In-Store
LOYID_1030,PID_1125,ProdID_1125,2018-09-09,137,37,POS Purchase,Purchased a product In-Store
LOYID_1030,PID_1126,ProdID_1126,2018-12-20,55,41,POS Purchase,Purchased a product In-Store
LOYID_1030,PID_1127,ProdID_1127,2019-01-17,192,37,POS Purchase,Purchased a product In-Store
LOYID_1031,PID_1128,ProdID_1128,2017-12-01,95,43,POS Purchase,Purchased a product In-Store
LOYID_1031,PID_1129,ProdID_1129,2018-10-10,166,46,POS Purchase,Purchased a product In-Store
LOYID_1031,PID_1130,ProdID_1130,2019-01-03,42,47,POS Purchase,Purchased a product In-Store
LOYID_1031,PID_1131,ProdID_1131,2019-01-18,132,44,POS Purchase,Purchased a product In-Store
LOYID_1032,PID_1132,ProdID_1132,2018-12-11,111,30,POS Purchase,Purchased a product In-Store
LOYID_1032,PID_1133,ProdID_1133,2019-01-27,68,41,POS Purchase,Purchased a product In-Store
LOYID_1032,PID_1134,ProdID_1134,2019-02-04,159,25,POS Purchase,Purchased a product In-Store
LOYID_1032,PID_1135,ProdID_1135,2019-02-04,67,24,POS Purchase,Purchased a product In-Store
LOYID_1033,PID_1136,ProdID_1136,2017-12-27,83,26,POS Purchase,Purchased a product In-Store
LOYID_1033,PID_1137,ProdID_1137,2018-03-03,38,26,POS Purchase,Purchased a product In-Store
LOYID_1033,PID_1138,ProdID_1138,2018-04-27,137,33,POS Purchase,Purchased a product In-Store
LOYID_1033,PID_1139,ProdID_1139,2018-04-29,146,48,POS Purchase,Purchased a product In-Store
LOYID_1034,PID_1140,ProdID_1140,2017-05-28,178,32,POS Purchase,Purchased a product In-Store
LOYID_1034,PID_1141,ProdID_1141,2018-11-20,87,28,POS Purchase,Purchased a product In-Store
LOYID_1034,PID_1142,ProdID_1142,2019-01-15,36,45,POS Purchase,Purchased a product In-Store
LOYID_1035,PID_1143,ProdID_1143,2018-05-26,157,22,POS Purchase,Purchased a product In-Store
LOYID_1035,PID_1144,ProdID_1144,2018-09-18,133,27,POS Purchase,Purchased a product In-Store
LOYID_1035,PID_1145,ProdID_1145,2019-01-10,108,49,POS Purchase,Purchased a product In-Store
LOYID_1035,PID_1146,ProdID_1146,2019-01-13,148,41,POS Purchase,Purchased a product In-Store
LOYID_1036,PID_1147,ProdID_1147,2017-03-07,158,34,POS Purchase,Purchased a product In-Store
LOYID_1036,PID_1148,ProdID_1148,2019-02-04,156,34,POS Purchase,Purchased a product In-Store
LOYID_1036,PID_1149,ProdID_1149,2019-02-05,163,44,POS Purchase,Purchased a product In-Store
LOYID_1037,PID_1150,ProdID_1150,2019-01-09,33,31,POS Purchase,Purchased a product In-Store
LOYID_1037,PID_1151,ProdID_1151,2019-01-14,104,34,POS Purchase,Purchased a product In-Store
LOYID_1037,PID_1152,ProdID_1152,2019-02-03,97,22,POS Purchase,Purchased a product In-Store
LOYID_1037,PID_1153,ProdID_1153,2019-02-05,64,49,POS Purchase,Purchased a product In-Store
LOYID_1037,PID_1154,ProdID_1154,2019-02-05,101,35,POS Purchase,Purchased a product In-Store
LOYID_1038,PID_1155,ProdID_1155,2017-02-28,80,42,POS Purchase,Purchased a product In-Store
LOYID_1038,PID_1156,ProdID_1156,2017-04-27,106,34,POS Purchase,Purchased a product In-Store
LOYID_1038,PID_1157,ProdID_1157,2017-11-22,127,25,POS Purchase,Purchased a product In-Store
LOYID_1038,PID_1158,ProdID_1158,2018-02-16,187,27,POS Purchase,Purchased a product In-Store
LOYID_1039,PID_1159,ProdID_1159,2017-10-31,129,32,POS Purchase,Purchased a product In-Store
LOYID_1039,PID_1160,ProdID_1160,2018-04-07,43,34,POS Purchase,Purchased a product In-Store
LOYID_1039,PID_1161,ProdID_1161,2018-10-19,100,23,POS Purchase,Purchased a product In-Store
LOYID_1039,PID_1162,ProdID_1162,2019-01-04,62,35,POS Purchase,Purchased a product In-Store
LOYID_1039,PID_1163,ProdID_1163,2019-01-15,80,37,POS Purchase,Purchased a product In-Store
LOYID_1040,PID_1164,ProdID_1164,2018-11-03,35,24,POS Purchase,Purchased a product In-Store
LOYID_1040,PID_1165,ProdID_1165,2018-11-22,109,24,POS Purchase,Purchased a product In-Store
LOYID_1040,PID_1166,ProdID_1166,2018-12-10,91,43,POS Purchase,Purchased a product In-Store
LOYID_1041,PID_1167,ProdID_1167,2017-09-17,183,27,POS Purchase,Purchased a product In-Store
LOYID_1041,PID_1168,ProdID_1168,2018-06-09,127,47,POS Purchase,Purchased a product In-Store
LOYID_1041,PID_1169,ProdID_1169,2018-11-19,92,48,POS Purchase,Purchased a product In-Store
LOYID_1042,PID_1170,ProdID_1170,2018-08-24,181,22,POS Purchase,Purchased a product In-Store
LOYID_1042,PID_1171,ProdID_1171,2018-12-04,192,41,POS Purchase,Purchased a product In-Store
LOYID_1042,PID_1172,ProdID_1172,2018-12-04,46,28,POS Purchase,Purchased a product In-Store
LOYID_1043,PID_1173,ProdID_1173,2018-03-31,172,43,POS Purchase,Purchased a product In-Store
LOYID_1043,PID_1174,ProdID_1174,2018-09-19,187,47,POS Purchase,Purchased a product In-Store
LOYID_1043,PID_1175,ProdID_1175,2019-02-01,101,42,POS Purchase,Purchased a product In-Store
LOYID_1043,PID_1176,ProdID_1176,2019-02-05,88,25,POS Purchase,Purchased a product In-Store
LOYID_1044,PID_1177,ProdID_1177,2018-08-29,100,38,POS Purchase,Purchased a product In-Store
LOYID_1044,PID_1178,ProdID_1178,2018-11-28,68,47,POS Purchase,Purchased a product In-Store
LOYID_1044,PID_1179,ProdID_1179,2019-01-13,34,36,POS Purchase,Purchased a product In-Store
LOYID_1044,PID_1180,ProdID_1180,2019-01-30,125,27,POS Purchase,Purchased a product In-Store
LOYID_1044,PID_1181,ProdID_1181,2019-01-31,67,37,POS Purchase,Purchased a product In-Store
LOYID_1045,PID_1182,ProdID_1182,2018-09-11,177,22,POS Purchase,Purchased a product In-Store
LOYID_1045,PID_1183,ProdID_1183,2019-01-25,154,30,POS Purchase,Purchased a product In-Store
LOYID_1045,PID_1184,ProdID_1184,2019-01-25,133,28,POS Purchase,Purchased a product In-Store
LOYID_1046,PID_1185,ProdID_1185,2017-12-20,78,22,POS Purchase,Purchased a product In-Store
LOYID_1046,PID_1186,ProdID_1186,2018-08-25,110,20,POS Purchase,Purchased a product In-Store
LOYID_1046,PID_1187,ProdID_1187,2018-08-25,107,25,POS Purchase,Purchased a product In-Store
LOYID_1047,PID_1188,ProdID_1188,2017-07-31,135,39,POS Purchase,Purchased a product In-Store
LOYID_1047,PID_1189,ProdID_1189,2018-05-21,65,46,POS Purchase,Purchased a product In-Store
LOYID_1047,PID_1190,ProdID_1190,2018-09-15,59,32,POS Purchase,Purchased a product In-Store
LOYID_1047,PID_1191,ProdID_1191,2018-12-13,125,41,POS Purchase,Purchased a product In-Store
LOYID_1048,PID_1192,ProdID_1192,2017-04-25,73,44,POS Purchase,Purchased a product In-Store
LOYID_1048,PID_1193,ProdID_1193,2017-07-04,118,36,POS Purchase,Purchased a product In-Store
LOYID_1048,PID_1194,ProdID_1194,2018-07-24,147,35,POS Purchase,Purchased a product In-Store
LOYID_1049,PID_1195,ProdID_1195,2017-07-03,123,43,POS Purchase,Purchased a product In-Store
LOYID_1049,PID_1196,ProdID_1196,2018-05-10,175,20,POS Purchase,Purchased a product In-Store
LOYID_1049,PID_1197,ProdID_1197,2018-09-13,32,28,POS Purchase,Purchased a product In-Store
LOYID_1049,PID_1198,ProdID_1198,2018-09-19,51,49,POS Purchase,Purchased a product In-Store
LOYID_1050,PID_1199,ProdID_1199,2018-06-21,156,47,POS Purchase,Purchased a product In-Store
LOYID_1050,PID_1200,ProdID_1200,2019-02-01,143,49,POS Purchase,Purchased a product In-Store
LOYID_1050,PID_1201,ProdID_1201,2019-02-03,189,46,POS Purchase,Purchased a product In-Store
LOYID_1050,PID_1202,ProdID_1202,2019-02-05,90,42,POS Purchase,Purchased a product In-Store
LOYID_1050,PID_1203,ProdID_1203,2019-02-06,167,44,POS Purchase,Purchased a product In-Store
LOYID_1051,PID_1204,ProdID_1204,2017-05-22,158,27,POS Purchase,Purchased a product In-Store
LOYID_1051,PID_1205,ProdID_1205,2018-10-22,71,34,POS Purchase,Purchased a product In-Store
LOYID_1051,PID_1206,ProdID_1206,2018-12-21,187,38,POS Purchase,Purchased a product In-Store
LOYID_1051,PID_1207,ProdID_1207,2019-01-04,108,26,POS Purchase,Purchased a product In-Store
LOYID_1052,PID_1208,ProdID_1208,2018-08-02,147,23,POS Purchase,Purchased a product In-Store
LOYID_1052,PID_1209,ProdID_1209,2018-10-19,84,25,POS Purchase,Purchased a product In-Store
LOYID_1052,PID_1210,ProdID_1210,2019-02-06,124,45,POS Purchase,Purchased a product In-Store
LOYID_1052,PID_1211,ProdID_1211,2019-02-06,132,38,POS Purchase,Purchased a product In-Store
LOYID_1052,PID_1212,ProdID_1212,2019-02-06,126,41,POS Purchase,Purchased a product In-Store
LOYID_1053,PID_1213,ProdID_1213,2018-01-29,92,23,POS Purchase,Purchased a product In-Store
LOYID_1053,PID_1214,ProdID_1214,2018-04-29,193,31,POS Purchase,Purchased a product In-Store
LOYID_1053,PID_1215,ProdID_1215,2018-05-27,138,46,POS Purchase,Purchased a product In-Store
LOYID_1053,PID_1216,ProdID_1216,2018-08-26,186,44,POS Purchase,Purchased a product In-Store
LOYID_1054,PID_1217,ProdID_1217,2018-06-29,64,21,POS Purchase,Purchased a product In-Store
LOYID_1054,PID_1218,ProdID_1218,2018-10-02,85,37,POS Purchase,Purchased a product In-Store
LOYID_1054,PID_1219,ProdID_1219,2019-01-02,189,35,POS Purchase,Purchased a product In-Store
LOYID_1054,PID_1220,ProdID_1220,2019-01-06,92,26,POS Purchase,Purchased a product In-Store
LOYID_1054,PID_1221,ProdID_1221,2019-01-22,76,28,POS Purchase,Purchased a product In-Store
LOYID_1055,PID_1222,ProdID_1222,2017-01-07,139,24,POS Purchase,Purchased a product In-Store
LOYID_1055,PID_1223,ProdID_1223,2019-01-16,91,31,POS Purchase,Purchased a product In-Store
LOYID_1055,PID_1224,ProdID_1224,2019-01-20,142,47,POS Purchase,Purchased a product In-Store
LOYID_1055,PID_1225,ProdID_1225,2019-01-20,145,24,POS Purchase,Purchased a product In-Store
LOYID_1055,PID_1226,ProdID_1226,2019-01-20,142,28,POS Purchase,Purchased a product In-Store
LOYID_1056,PID_1227,ProdID_1227,2018-10-24,120,40,POS Purchase,Purchased a product In-Store
LOYID_1056,PID_1228,ProdID_1228,2018-11-07,103,41,POS Purchase,Purchased a product In-Store
LOYID_1056,PID_1229,ProdID_1229,2019-01-28,145,22,POS Purchase,Purchased a product In-Store
LOYID_1056,PID_1230,ProdID_1230,2019-01-29,63,31,POS Purchase,Purchased a product In-Store
LOYID_1057,PID_1231,ProdID_1231,2018-06-13,64,24,POS Purchase,Purchased a product In-Store
LOYID_1057,PID_1232,ProdID_1232,2018-12-01,167,44,POS Purchase,Purchased a product In-Store
LOYID_1057,PID_1233,ProdID_1233,2019-02-04,164,38,POS Purchase,Purchased a product In-Store
LOYID_1057,PID_1234,ProdID_1234,2019-02-06,36,24,POS Purchase,Purchased a product In-Store
LOYID_1058,PID_1235,ProdID_1235,2017-09-08,87,41,POS Purchase,Purchased a product In-Store
LOYID_1058,PID_1236,ProdID_1236,2017-11-27,30,25,POS Purchase,Purchased a product In-Store
LOYID_1058,PID_1237,ProdID_1237,2019-01-23,123,33,POS Purchase,Purchased a product In-Store
LOYID_1059,PID_1238,ProdID_1238,2018-04-10,64,33,POS Purchase,Purchased a product In-Store
LOYID_1059,PID_1239,ProdID_1239,2018-06-13,189,47,POS Purchase,Purchased a product In-Store
LOYID_1059,PID_1240,ProdID_1240,2018-07-13,109,46,POS Purchase,Purchased a product In-Store
LOYID_1059,PID_1241,ProdID_1241,2018-08-29,145,40,POS Purchase,Purchased a product In-Store
LOYID_1060,PID_1242,ProdID_1242,2018-01-02,160,24,POS Purchase,Purchased a product In-Store
LOYID_1060,PID_1243,ProdID_1243,2019-01-22,72,39,POS Purchase,Purchased a product In-Store
LOYID_1060,PID_1244,ProdID_1244,2019-01-30,90,33,POS Purchase,Purchased a product In-Store
LOYID_1060,PID_1245,ProdID_1245,2019-02-05,145,36,POS Purchase,Purchased a product In-Store
LOYID_1060,PID_1246,ProdID_1246,2019-02-06,102,24,POS Purchase,Purchased a product In-Store
LOYID_1061,PID_1247,ProdID_1247,2017-02-17,82,45,POS Purchase,Purchased a product In-Store
LOYID_1061,PID_1248,ProdID_1248,2018-05-31,164,28,POS Purchase,Purchased a product In-Store
LOYID_1061,PID_1249,ProdID_1249,2018-09-03,138,46,POS Purchase,Purchased a product In-Store
LOYID_1061,PID_1250,ProdID_1250,2018-09-13,150,40,POS Purchase,Purchased a product In-Store
LOYID_1062,PID_1251,ProdID_1251,2018-01-07,177,30,POS Purchase,Purchased a product In-Store
LOYID_1062,PID_1252,ProdID_1252,2018-04-23,69,40,POS Purchase,Purchased a product In-Store
LOYID_1062,PID_1253,ProdID_1253,2018-10-30,95,35,POS Purchase,Purchased a product In-Store
LOYID_1062,PID_1254,ProdID_1254,2018-10-31,180,37,POS Purchase,Purchased a product In-Store
LOYID_1063,PID_1255,ProdID_1255,2018-08-01,97,27,POS Purchase,Purchased a product In-Store
LOYID_1063,PID_1256,ProdID_1256,2018-08-27,144,44,POS Purchase,Purchased a product In-Store
LOYID_1063,PID_1257,ProdID_1257,2018-12-25,179,21,POS Purchase,Purchased a product In-Store
LOYID_1064,PID_1258,ProdID_1258,2017-10-28,132,49,POS Purchase,Purchased a product In-Store
LOYID_1064,PID_1259,ProdID_1259,2018-10-11,157,46,POS Purchase,Purchased a product In-Store
LOYID_1064,PID_1260,ProdID_1260,2018-11-11,63,47,POS Purchase,Purchased a product In-Store
LOYID_1064,PID_1261,ProdID_1261,2019-01-01,80,20,POS Purchase,Purchased a product In-Store
LOYID_1064,PID_1262,ProdID_1262,2019-01-01,181,43,POS Purchase,Purchased a product In-Store
LOYID_1065,PID_1263,ProdID_1263,2018-08-02,164,31,POS Purchase,Purchased a product In-Store
LOYID_1065,PID_1264,ProdID_1264,2018-12-31,68,31,POS Purchase,Purchased a product In-Store
LOYID_1065,PID_1265,ProdID_1265,2019-01-13,113,24,POS Purchase,Purchased a product In-Store
LOYID_1065,PID_1266,ProdID_1266,2019-01-30,103,33,POS Purchase,Purchased a product In-Store
LOYID_1066,PID_1267,ProdID_1267,2018-02-05,119,30,POS Purchase,Purchased a product In-Store
LOYID_1066,PID_1268,ProdID_1268,2018-09-06,172,47,POS Purchase,Purchased a product In-Store
LOYID_1066,PID_1269,ProdID_1269,2019-02-03,67,28,POS Purchase,Purchased a product In-Store
LOYID_1066,PID_1270,ProdID_1270,2019-02-06,182,44,POS Purchase,Purchased a product In-Store
LOYID_1066,PID_1271,ProdID_1271,2019-02-06,100,39,POS Purchase,Purchased a product In-Store
