ContactId,PurchaseId,ProductId,PurchasedOn,TotalPrice,ActivityTypeDisplay,Subject
CNTID_1021,OPID_1049,ProdID_1038,9/17/2018,177,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1050,ProdID_1023,11/26/2018,240,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1051,ProdID_1032,12/20/2018,55,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1052,ProdID_1042,12/27/2018,59,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1053,ProdID_1012,10/28/2017,199,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1054,ProdID_1019,4/16/2018,195,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1055,ProdID_1045,10/12/2018,124,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1056,ProdID_1016,10/24/2018,232,OnlinePurchase,Purchased a product online
CNTID_1023,OPID_1057,ProdID_1006,2/11/2018,159,OnlinePurchase,Purchased a product online
CNTID_1023,OPID_1058,ProdID_1044,11/29/2018,2538,OnlinePurchase,Purchased a product online
CNTID_1024,OPID_1059,ProdID_1009,4/8/2018,162,OnlinePurchase,Purchased a product online
CNTID_1024,OPID_1060,ProdID_1013,9/4/2018,112,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1061,ProdID_1014,1/12/2017,248,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1062,ProdID_1003,3/29/2018,174,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1063,ProdID_1040,8/20/2018,125,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1064,ProdID_1027,8/31/2018,107,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1065,ProdID_1038,12/17/2018,95,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1066,ProdID_1027,2/1/2019,51,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1067,ProdID_1030,2/3/2019,82,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1068,ProdID_1017,4/12/2017,176,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1069,ProdID_1026,10/28/2017,248,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1070,ProdID_1018,8/6/2018,200,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1071,ProdID_1005,4/4/2018,173,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1072,ProdID_1006,7/21/2018,250,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1073,ProdID_1021,1/17/2019,120,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1074,ProdID_1036,8/24/2017,150,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1075,ProdID_1003,11/17/2017,149,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1076,ProdID_1023,1/19/2019,121,OnlinePurchase,Purchased a product online
CNTID_1032,OPID_1077,ProdID_1023,9/30/2017,240,OnlinePurchase,Purchased a product online
CNTID_1032,OPID_1078,ProdID_1019,11/10/2018,249,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1079,ProdID_1023,2/13/2018,198,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1080,ProdID_1010,8/6/2018,2440,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1081,ProdID_1038,8/17/2018,2601,OnlinePurchase,Purchased a product online
CNTID_1034,OPID_1082,ProdID_1041,1/13/2018,95,OnlinePurchase,Purchased a product online
CNTID_1035,OPID_1083,ProdID_1016,6/1/2018,152,OnlinePurchase,Purchased a product online
CNTID_1035,OPID_1084,ProdID_1015,11/28/2018,96,OnlinePurchase,Purchased a product online
CNTID_1036,OPID_1085,ProdID_1008,9/15/2017,98,OnlinePurchase,Purchased a product online
CNTID_1038,OPID_1086,ProdID_1025,11/6/2018,242,OnlinePurchase,Purchased a product online
CNTID_1038,OPID_1087,ProdID_1033,11/7/2018,203,OnlinePurchase,Purchased a product online
CNTID_1041,OPID_1088,ProdID_1015,7/2/2017,118,OnlinePurchase,Purchased a product online
CNTID_1042,OPID_1089,ProdID_1042,1/5/2019,47,OnlinePurchase,Purchased a product online
CNTID_1042,OPID_1090,ProdID_1006,1/16/2019,210,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1091,ProdID_1021,1/14/2019,83,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1092,ProdID_1019,1/22/2019,244,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1093,ProdID_1030,2/6/2019,82,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1094,ProdID_1032,2/6/2019,113,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1095,ProdID_1018,2/1/2018,104,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1096,ProdID_1029,8/4/2018,72,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1097,ProdID_1048,10/20/2018,187,OnlinePurchase,Purchased a product online
CNTID_1046,OPID_1098,ProdID_1042,12/6/2018,209,OnlinePurchase,Purchased a product online
CNTID_1046,OPID_1099,ProdID_1034,12/21/2018,250,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1100,ProdID_1002,6/8/2017,137,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1101,ProdID_1019,1/22/2019,117,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1102,ProdID_1015,1/25/2019,139,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1103,ProdID_1004,2/1/2019,100,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1104,ProdID_1044,2/5/2019,175,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1105,ProdID_1039,5/27/2017,79,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1106,ProdID_1008,10/14/2017,74,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1107,ProdID_1043,7/14/2018,170,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1108,ProdID_1001,11/9/2018,56,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1109,ProdID_1029,1/3/2017,213,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1110,ProdID_1008,9/16/2018,47,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1111,ProdID_1031,1/10/2019,249,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1112,ProdID_1037,11/22/2017,31,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1113,ProdID_1021,12/2/2018,47,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1114,ProdID_1007,1/7/2019,46,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1115,ProdID_1019,9/25/2017,196,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1116,ProdID_1024,2/25/2018,130,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1117,ProdID_1037,9/10/2018,2607,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1118,ProdID_1033,12/23/2017,73,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1119,ProdID_1034,1/3/2018,219,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1120,ProdID_1012,5/14/2018,209,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1121,ProdID_1036,2/3/2019,173,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1122,ProdID_1035,2/4/2019,117,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1123,ProdID_1001,6/21/2018,190,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1124,ProdID_1017,11/5/2018,133,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1125,ProdID_1017,11/19/2018,81,OnlinePurchase,Purchased a product online
CNTID_1055,OPID_1126,ProdID_1020,7/10/2018,201,OnlinePurchase,Purchased a product online
CNTID_1056,OPID_1127,ProdID_1030,10/1/2017,42,OnlinePurchase,Purchased a product online
CNTID_1056,OPID_1128,ProdID_1001,10/19/2017,182,OnlinePurchase,Purchased a product online
CNTID_1058,OPID_1129,ProdID_1009,6/7/2017,229,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1130,ProdID_1047,12/9/2017,105,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1131,ProdID_1006,9/29/2018,173,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1132,ProdID_1018,12/13/2018,210,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1133,ProdID_1035,5/26/2017,134,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1134,ProdID_1024,6/7/2018,133,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1135,ProdID_1017,1/28/2019,230,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1136,ProdID_1049,2/3/2019,154,OnlinePurchase,Purchased a product online
CNTID_1063,OPID_1137,ProdID_1003,1/9/2019,189,OnlinePurchase,Purchased a product online
CNTID_1063,OPID_1138,ProdID_1011,1/29/2019,150,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1139,ProdID_1030,5/16/2017,208,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1140,ProdID_1004,4/2/2018,175,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1141,ProdID_1007,11/12/2018,152,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1142,ProdID_1002,11/12/2018,200,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1143,ProdID_1028,5/18/2018,176,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1144,ProdID_1013,12/7/2018,157,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1145,ProdID_1044,12/14/2018,86,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1146,ProdID_1036,12/14/2018,69,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1147,ProdID_1024,8/18/2017,104,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1148,ProdID_1033,12/2/2018,177,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1149,ProdID_1032,1/22/2019,167,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1150,ProdID_1010,4/4/2018,150,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1151,ProdID_1038,11/23/2018,211,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1152,ProdID_1044,1/1/2019,100,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1153,ProdID_1014,1/21/2019,151,OnlinePurchase,Purchased a product online
CNTID_1069,OPID_1154,ProdID_1021,4/29/2018,81,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1155,ProdID_1048,7/15/2018,214,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1156,ProdID_1036,9/9/2018,178,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1157,ProdID_1002,9/29/2018,184,OnlinePurchase,Purchased a product online
CNTID_1071,OPID_1158,ProdID_1026,11/18/2018,208,OnlinePurchase,Purchased a product online
CNTID_1071,OPID_1159,ProdID_1037,12/19/2018,143,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1160,ProdID_1002,5/17/2018,145,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1161,ProdID_1016,8/24/2018,191,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1162,ProdID_1032,11/27/2018,104,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1163,ProdID_1049,12/23/2018,186,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1164,ProdID_1032,6/2/2018,70,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1165,ProdID_1023,10/15/2018,66,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1166,ProdID_1049,12/9/2018,217,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1167,ProdID_1042,12/17/2018,33,OnlinePurchase,Purchased a product online
CNTID_1074,OPID_1168,ProdID_1019,2/24/2018,163,OnlinePurchase,Purchased a product online
CNTID_1074,OPID_1169,ProdID_1003,2/27/2018,174,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1170,ProdID_1016,4/6/2017,173,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1171,ProdID_1004,10/15/2017,247,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1172,ProdID_1029,3/21/2018,132,OnlinePurchase,Purchased a product online
CNTID_1076,OPID_1173,ProdID_1017,3/2/2017,215,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1174,ProdID_1006,8/23/2017,116,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1175,ProdID_1046,12/5/2017,91,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1176,ProdID_1016,8/13/2018,98,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1177,ProdID_1014,12/19/2018,204,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1178,ProdID_1000,2/19/2017,99,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1179,ProdID_1042,10/10/2017,222,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1180,ProdID_1021,3/2/2018,157,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1181,ProdID_1030,4/16/2017,150,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1182,ProdID_1016,7/29/2018,47,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1183,ProdID_1029,12/13/2018,103,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1184,ProdID_1046,1/30/2019,47,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1185,ProdID_1030,1/30/2019,69,OnlinePurchase,Purchased a product online
CNTID_1082,OPID_1186,ProdID_1035,9/23/2017,85,OnlinePurchase,Purchased a product online
CNTID_1082,OPID_1187,ProdID_1032,6/16/2018,70,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1188,ProdID_1037,12/3/2017,139,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1189,ProdID_1005,4/1/2018,64,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1190,ProdID_1034,10/24/2018,99,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1191,ProdID_1029,12/22/2018,114,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1192,ProdID_1029,4/8/2017,74,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1193,ProdID_1018,7/3/2017,45,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1194,ProdID_1027,2/4/2018,183,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1195,ProdID_1028,5/1/2018,139,OnlinePurchase,Purchased a product online
CNTID_1086,OPID_1196,ProdID_1039,6/3/2018,49,OnlinePurchase,Purchased a product online
CNTID_1086,OPID_1197,ProdID_1029,8/25/2018,113,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1198,ProdID_1005,4/19/2017,51,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1199,ProdID_1020,12/23/2017,65,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1200,ProdID_1030,11/13/2018,132,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1201,ProdID_1049,10/28/2018,49,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1202,ProdID_1020,12/27/2018,44,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1203,ProdID_1039,1/18/2019,109,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1204,ProdID_1046,2/6/2019,147,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1205,ProdID_1024,2/6/2019,50,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1206,ProdID_1016,4/9/2017,84,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1207,ProdID_1026,2/3/2018,243,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1208,ProdID_1036,8/2/2018,209,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1209,ProdID_1019,11/29/2018,163,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1210,ProdID_1033,12/24/2018,192,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1211,ProdID_1002,11/19/2018,47,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1212,ProdID_1016,1/9/2019,108,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1213,ProdID_1037,1/21/2019,152,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1214,ProdID_1038,1/29/2019,106,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1215,ProdID_1021,7/21/2017,182,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1216,ProdID_1019,11/13/2018,198,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1217,ProdID_1046,12/19/2018,52,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1218,ProdID_1047,12/20/2018,147,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1219,ProdID_1038,1/23/2019,113,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1220,ProdID_1027,2/4/2019,209,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1221,ProdID_1042,2/5/2019,36,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1222,ProdID_1012,2/5/2019,108,OnlinePurchase,Purchased a product online
CNTID_1094,OPID_1223,ProdID_1036,1/8/2017,71,OnlinePurchase,Purchased a product online
CNTID_1094,OPID_1224,ProdID_1014,6/2/2017,247,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1225,ProdID_1005,9/27/2018,99,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1226,ProdID_1048,10/27/2018,213,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1227,ProdID_1029,11/27/2018,31,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1228,ProdID_1044,1/23/2019,232,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1229,ProdID_1015,2/1/2019,69,OnlinePurchase,Purchased a product online
CNTID_1096,OPID_1230,ProdID_1008,6/9/2018,86,OnlinePurchase,Purchased a product online
CNTID_1098,OPID_1231,ProdID_1019,9/23/2017,132,OnlinePurchase,Purchased a product online
CNTID_1099,OPID_1232,ProdID_1016,5/13/2017,68,OnlinePurchase,Purchased a product online
CNTID_1099,OPID_1233,ProdID_1027,5/9/2018,110,OnlinePurchase,Purchased a product online
CNTID_1099,OPID_1234,ProdID_1046,5/23/2018,216,OnlinePurchase,Purchased a product online
CNTID_1101,OPID_1235,ProdID_1036,6/24/2018,102,OnlinePurchase,Purchased a product online
CNTID_1101,OPID_1236,ProdID_1010,2/3/2019,134,OnlinePurchase,Purchased a product online
CNTID_1101,OPID_1237,ProdID_1048,2/6/2019,166,OnlinePurchase,Purchased a product online
CNTID_1102,OPID_1238,ProdID_1036,9/8/2018,54,OnlinePurchase,Purchased a product online
CNTID_1102,OPID_1239,ProdID_1003,12/10/2018,201,OnlinePurchase,Purchased a product online
CNTID_1103,OPID_1240,ProdID_1003,9/7/2017,147,OnlinePurchase,Purchased a product online
CNTID_1105,OPID_1241,ProdID_1018,3/14/2017,31,OnlinePurchase,Purchased a product online
CNTID_1106,OPID_1242,ProdID_1003,12/9/2018,176,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1243,ProdID_1040,1/23/2017,152,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1244,ProdID_1018,11/22/2018,114,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1245,ProdID_1028,12/28/2018,227,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1246,ProdID_1025,1/27/2019,164,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1247,ProdID_1007,1/30/2019,216,OnlinePurchase,Purchased a product online
CNTID_1108,OPID_1248,ProdID_1033,5/29/2018,131,OnlinePurchase,Purchased a product online
CNTID_1108,OPID_1249,ProdID_1000,7/14/2018,230,OnlinePurchase,Purchased a product online
CNTID_1109,OPID_1250,ProdID_1002,9/15/2018,31,OnlinePurchase,Purchased a product online
CNTID_1109,OPID_1251,ProdID_1002,10/10/2018,31,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1252,ProdID_1031,6/30/2017,83,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1253,ProdID_1026,7/9/2018,191,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1254,ProdID_1009,8/20/2018,31,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1255,ProdID_1047,12/28/2018,99,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1256,ProdID_1049,1/1/2019,98,OnlinePurchase,Purchased a product online
CNTID_1111,OPID_1257,ProdID_1033,12/19/2017,150,OnlinePurchase,Purchased a product online
CNTID_1111,OPID_1258,ProdID_1028,9/7/2018,62,OnlinePurchase,Purchased a product online
CNTID_1111,OPID_1259,ProdID_1006,11/26/2018,84,OnlinePurchase,Purchased a product online
CNTID_1112,OPID_1260,ProdID_1020,11/3/2017,65,OnlinePurchase,Purchased a product online
CNTID_1112,OPID_1261,ProdID_1040,11/6/2017,148,OnlinePurchase,Purchased a product online
CNTID_1112,OPID_1262,ProdID_1025,11/21/2018,209,OnlinePurchase,Purchased a product online
CNTID_1113,OPID_1263,ProdID_1004,5/4/2017,50,OnlinePurchase,Purchased a product online
CNTID_1113,OPID_1264,ProdID_1028,11/15/2017,115,OnlinePurchase,Purchased a product online
CNTID_1114,OPID_1265,ProdID_1003,10/20/2018,232,OnlinePurchase,Purchased a product online
CNTID_1114,OPID_1266,ProdID_1041,12/25/2018,54,OnlinePurchase,Purchased a product online
CNTID_1114,OPID_1267,ProdID_1041,12/31/2018,216,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1268,ProdID_1041,6/26/2018,39,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1269,ProdID_1004,12/2/2018,185,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1270,ProdID_1010,12/31/2018,84,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1271,ProdID_1015,1/25/2019,225,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1272,ProdID_1022,1/27/2019,119,OnlinePurchase,Purchased a product online
CNTID_1117,OPID_1273,ProdID_1021,3/2/2017,153,OnlinePurchase,Purchased a product online
CNTID_1117,OPID_1274,ProdID_1015,1/6/2019,231,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1275,ProdID_1015,8/8/2018,1474,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1276,ProdID_1030,11/21/2018,1479,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1277,ProdID_1020,1/25/2019,1529,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1278,ProdID_1036,1/28/2019,1403,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1279,ProdID_1041,2/4/2019,1487,OnlinePurchase,Purchased a product online
CNTID_1119,OPID_1280,ProdID_1049,3/28/2018,88,OnlinePurchase,Purchased a product online
CNTID_1119,OPID_1281,ProdID_1009,11/8/2018,48,OnlinePurchase,Purchased a product online
