HotelCustomerID,StayID,CheckInDate,CheckOutDate,RoomType,DollarsSpent,BookingType,TravelCategory,NumberOfNights
A000013,S000057,10/25/2017 0:00,10/25/2017 0:00,Large,199,Online,Business,0
A000013,S000058,1/13/2016 0:00,1/13/2016 0:00,Large,380,Online,Business,0
A000013,S000059,8/4/2015 0:00,8/7/2015 0:00,Large,477,Online,Business,3
A000013,S000060,3/24/2015 0:00,3/30/2015 0:00,Small,315,Online,Business,6
A000014,S000061,1/10/2014 0:00,1/11/2014 0:00,Large,162,Online,Leisure,1
A000015,S000062,12/21/2015 0:00,12/27/2015 0:00,Small,120,Online,Business,6
A000015,S000063,9/29/2014 0:00,9/29/2014 0:00,Large,373,Phone Call,Business,0
A000016,S000064,1/23/2014 0:00,1/28/2014 0:00,Large,450,Online,Business,5
A000016,S000065,9/3/2015 0:00,9/4/2015 0:00,Small,430,Phone Call,Leisure,1
A000016,S000066,3/3/2014 0:00,3/7/2014 0:00,Large,386,Online,Business,4
A000016,S000067,1/13/2016 0:00,1/19/2016 0:00,Small,461,Online,Leisure,6
A000016,S000068,12/10/2016 0:00,12/10/2016 0:00,Large,319,Phone Call,Leisure,0
A000016,S000069,4/10/2014 0:00,4/16/2014 0:00,Small,422,Phone Call,Business,6
A000017,S000070,10/6/2016 0:00,10/6/2016 0:00,Large,164,Phone Call,Leisure,0
A000017,S000071,7/3/2016 0:00,7/3/2016 0:00,Small,224,Phone Call,Leisure,0
A000018,S000072,8/24/2015 0:00,8/26/2015 0:00,Large,459,Online,Business,2
A000018,S000073,4/14/2016 0:00,4/14/2016 0:00,Small,276,Online,Leisure,0
A000018,S000074,10/24/2017 0:00,10/28/2017 0:00,Small,439,Online,Business,4
A000019,S000075,7/27/2014 0:00,7/28/2014 0:00,Small,172,Phone Call,Leisure,1
A000020,S000076,1/21/2017 0:00,1/27/2017 0:00,Small,335,Online,Business,6
A000020,S000077,5/16/2015 0:00,5/20/2015 0:00,Small,330,Phone Call,Business,4
A000020,S000078,1/3/2016 0:00,1/4/2016 0:00,Small,231,Online,Leisure,1
A000020,S000079,6/10/2017 0:00,6/12/2017 0:00,Large,233,Phone Call,Business,2
A000020,S000080,10/26/2014 0:00,10/27/2014 0:00,Large,260,Online,Leisure,1
A000020,S000081,7/2/2014 0:00,7/8/2014 0:00,Large,85,Phone Call,Business,6
A000020,S000082,1/29/2014 0:00,1/30/2014 0:00,Small,478,Phone Call,Business,1
A000020,S000083,6/8/2014 0:00,6/8/2014 0:00,Large,483,Online,Business,0
A000020,S000084,1/24/2016 0:00,1/26/2016 0:00,Large,257,Online,Business,2
A000021,S000085,6/22/2016 0:00,6/28/2016 0:00,Large,476,Phone Call,Business,6
A000021,S000086,8/8/2017 0:00,8/9/2017 0:00,Large,380,Online,Business,1
A000021,S000087,5/13/2015 0:00,5/17/2015 0:00,Large,210,Phone Call,Business,4
A000021,S000088,11/24/2016 0:00,11/25/2016 0:00,Large,251,Online,Leisure,1
A000021,S000089,12/14/2017 0:00,12/14/2017 0:00,Large,187,Online,Leisure,0
A000021,S000090,6/11/2014 0:00,6/12/2014 0:00,Large,274,Online,Business,1
A000021,S000091,6/23/2017 0:00,6/29/2017 0:00,Small,277,Online,Business,6
A000021,S000092,5/20/2017 0:00,5/26/2017 0:00,Small,197,Online,Leisure,6
A000022,S000093,7/1/2015 0:00,7/6/2015 0:00,Large,431,Phone Call,Leisure,5
A000022,S000094,4/18/2015 0:00,4/22/2015 0:00,Small,367,Online,Business,4
A000022,S000095,5/14/2014 0:00,5/20/2014 0:00,Large,215,Phone Call,Business,6
A000022,S000096,8/16/2014 0:00,8/17/2014 0:00,Large,294,Online,Leisure,1
A000022,S000097,4/7/2014 0:00,4/9/2014 0:00,Large,305,Online,Business,2
A000022,S000098,5/31/2015 0:00,6/4/2015 0:00,Large,374,Online,Business,4
A000023,S000099,10/27/2015 0:00,10/28/2015 0:00,Small,190,Online,Business,1
A000023,S000100,10/14/2015 0:00,10/18/2015 0:00,Small,189,Online,Business,4
A000024,S000101,9/20/2016 0:00,9/24/2016 0:00,Large,156,Online,Leisure,4
A000024,S000102,6/21/2016 0:00,6/25/2016 0:00,Small,431,Online,Business,4
A000024,S000103,11/17/2017 0:00,11/18/2017 0:00,Small,341,Online,Business,1
A000024,S000104,1/12/2016 0:00,1/12/2016 0:00,Large,465,Online,Leisure,0
A000024,S000105,2/28/2015 0:00,2/28/2015 0:00,Small,497,Online,Business,0
A000024,S000106,11/29/2017 0:00,12/5/2017 0:00,Large,247,Online,Business,6
A000024,S000107,3/25/2017 0:00,3/25/2017 0:00,Small,299,Phone Call,Leisure,0
A000024,S000108,10/28/2014 0:00,10/28/2014 0:00,Small,175,Phone Call,Leisure,0
A000025,S000109,11/4/2016 0:00,11/9/2016 0:00,Small,194,Phone Call,Leisure,5
A000025,S000110,7/27/2014 0:00,7/27/2014 0:00,Large,142,Online,Business,0
A000025,S000111,5/28/2014 0:00,5/30/2014 0:00,Small,277,Phone Call,Business,2
A000025,S000112,10/8/2014 0:00,10/8/2014 0:00,Large,338,Online,Business,0
A000025,S000113,1/8/2015 0:00,1/12/2015 0:00,Small,126,Online,Business,4
A000025,S000114,1/29/2017 0:00,2/3/2017 0:00,Small,250,Online,Business,5
A000025,S000115,12/4/2014 0:00,12/10/2014 0:00,Large,333,Phone Call,Business,6
A000025,S000116,12/2/2015 0:00,12/3/2015 0:00,Large,204,Phone Call,Business,1
A000026,S000117,5/28/2016 0:00,6/2/2016 0:00,Large,421,Online,Business,5
A000026,S000118,4/21/2016 0:00,4/23/2016 0:00,Small,363,Phone Call,Business,2
A000026,S000119,3/10/2016 0:00,3/10/2016 0:00,Small,425,Phone Call,Business,0
A000026,S000120,3/2/2016 0:00,3/5/2016 0:00,Large,101,Online,Business,3
A000026,S000121,6/21/2015 0:00,6/23/2015 0:00,Small,190,Online,Leisure,2
A000026,S000122,6/30/2017 0:00,7/6/2017 0:00,Small,477,Phone Call,Business,6
A000027,S000123,2/19/2017 0:00,2/20/2017 0:00,Small,470,Online,Leisure,1
A000027,S000124,8/7/2015 0:00,8/13/2015 0:00,Large,431,Online,Business,6
A000027,S000125,1/10/2014 0:00,1/11/2014 0:00,Large,234,Online,Business,1
A000027,S000126,12/30/2015 0:00,12/31/2015 0:00,Large,92,Phone Call,Business,1
A000028,S000127,8/21/2014 0:00,8/25/2014 0:00,Small,246,Phone Call,Leisure,4
A000029,S000128,5/12/2016 0:00,5/16/2016 0:00,Large,197,Phone Call,Business,4
A000029,S000129,3/25/2014 0:00,3/28/2014 0:00,Large,429,Online,Business,3
A000029,S000130,9/19/2015 0:00,9/23/2015 0:00,Small,170,Online,Business,4
A000029,S000131,12/22/2015 0:00,12/25/2015 0:00,Large,376,Phone Call,Business,3
A000029,S000132,12/12/2017 0:00,12/13/2017 0:00,Small,360,Online,Business,1
A000029,S000133,2/27/2014 0:00,2/27/2014 0:00,Small,221,Online,Business,0
A000029,S000134,11/27/2017 0:00,11/28/2017 0:00,Large,497,Online,Business,1
A000029,S000135,8/19/2017 0:00,8/20/2017 0:00,Small,153,Online,Business,1
A000030,S000136,8/28/2017 0:00,8/31/2017 0:00,Small,305,Online,Business,3
A000030,S000137,6/7/2015 0:00,6/7/2015 0:00,Small,223,Phone Call,Leisure,0
A000030,S000138,1/25/2014 0:00,1/26/2014 0:00,Large,195,Online,Business,1
A000031,S000139,11/28/2016 0:00,12/2/2016 0:00,Large,263,Online,Business,4
A000031,S000140,1/13/2017 0:00,1/13/2017 0:00,Small,213,Phone Call,Business,0
A000032,S000141,12/19/2014 0:00,12/23/2014 0:00,Large,225,Online,Business,4
A000032,S000142,8/12/2014 0:00,8/18/2014 0:00,Large,268,Online,Business,6
A000032,S000143,9/6/2016 0:00,9/10/2016 0:00,Large,465,Phone Call,Business,4
A000032,S000144,2/13/2015 0:00,2/14/2015 0:00,Large,305,Online,Business,1
A000032,S000145,5/30/2015 0:00,5/31/2015 0:00,Large,170,Phone Call,Business,1
A000032,S000146,7/27/2014 0:00,8/2/2014 0:00,Small,170,Online,Business,6
A000032,S000147,6/26/2017 0:00,6/27/2017 0:00,Large,395,Online,Business,1
A000033,S000148,9/13/2015 0:00,9/14/2015 0:00,Large,402,Online,Business,1
A000033,S000149,5/22/2014 0:00,5/25/2014 0:00,Large,119,Online,Business,3
A000033,S000150,5/17/2016 0:00,5/22/2016 0:00,Large,451,Phone Call,Business,5
A000033,S000151,1/17/2016 0:00,1/18/2016 0:00,Small,444,Online,Leisure,1
A000033,S000152,8/26/2016 0:00,8/29/2016 0:00,Small,483,Online,Leisure,3
A000033,S000153,9/4/2014 0:00,9/9/2014 0:00,Small,289,Online,Business,5
A000033,S000154,4/21/2014 0:00,4/21/2014 0:00,Large,258,Online,Business,0
A000034,S000155,11/23/2017 0:00,11/29/2017 0:00,Large,377,Phone Call,Leisure,6
A000034,S000156,10/1/2015 0:00,10/1/2015 0:00,Large,95,Online,Business,0
A000034,S000157,11/21/2014 0:00,11/22/2014 0:00,Large,120,Phone Call,Business,1
A000034,S000158,6/29/2014 0:00,7/2/2014 0:00,Small,359,Online,Business,3
A000035,S000159,1/11/2014 0:00,1/14/2014 0:00,Large,140,Phone Call,Business,3
A000036,S000160,4/16/2014 0:00,4/17/2014 0:00,Small,132,Phone Call,Leisure,1
A000036,S000161,5/5/2015 0:00,5/8/2015 0:00,Large,209,Phone Call,Leisure,3
A000037,S000162,9/27/2015 0:00,10/1/2015 0:00,Small,180,Online,Leisure,4
A000038,S000163,3/30/2015 0:00,3/30/2015 0:00,Small,101,Online,Business,0
A000038,S000164,3/4/2014 0:00,3/9/2014 0:00,Large,423,Phone Call,Business,5
A000038,S000165,11/8/2016 0:00,11/10/2016 0:00,Small,174,Online,Leisure,2
A000038,S000166,12/13/2016 0:00,12/14/2016 0:00,Large,179,Phone Call,Business,1
A000038,S000167,7/19/2015 0:00,7/22/2015 0:00,Large,280,Online,Business,3
A000038,S000168,7/8/2015 0:00,7/8/2015 0:00,Small,140,Phone Call,Business,0
A000039,S000169,5/22/2016 0:00,5/24/2016 0:00,Large,151,Online,Leisure,2
A000039,S000170,3/18/2015 0:00,3/24/2015 0:00,Small,104,Phone Call,Leisure,6
A000039,S000171,8/1/2017 0:00,8/2/2017 0:00,Large,169,Phone Call,Business,1
A000039,S000172,12/4/2015 0:00,12/6/2015 0:00,Large,187,Online,Leisure,2
A000039,S000173,4/26/2017 0:00,4/29/2017 0:00,Small,210,Online,Leisure,3
A000040,S000174,11/4/2014 0:00,11/10/2014 0:00,Small,177,Online,Leisure,6
A000040,S000175,4/29/2016 0:00,5/3/2016 0:00,Large,228,Phone Call,Business,4
A000041,S000176,9/24/2014 0:00,9/27/2014 0:00,Large,197,Online,Leisure,3
A000042,S000177,10/24/2016 0:00,10/27/2016 0:00,Large,177,Phone Call,Business,3
A000042,S000178,5/4/2015 0:00,5/4/2015 0:00,Large,228,Online,Business,0
A000042,S000179,5/11/2014 0:00,5/14/2014 0:00,Large,463,Phone Call,Business,3
A000042,S000180,11/24/2017 0:00,11/25/2017 0:00,Small,322,Phone Call,Business,1
A000042,S000181,2/15/2014 0:00,2/19/2014 0:00,Small,93,Phone Call,Business,4
A000042,S000182,9/11/2015 0:00,9/11/2015 0:00,Small,432,Phone Call,Business,0
A000042,S000183,5/26/2015 0:00,6/1/2015 0:00,Large,127,Online,Business,6
A000043,S000184,8/3/2017 0:00,8/5/2017 0:00,Large,357,Online,Business,2
A000044,S000185,1/9/2015 0:00,1/13/2015 0:00,Small,327,Phone Call,Business,4
A000044,S000186,4/17/2015 0:00,4/23/2015 0:00,Small,361,Online,Business,6
A000044,S000187,12/15/2015 0:00,12/19/2015 0:00,Large,287,Online,Leisure,4
A000044,S000188,11/28/2014 0:00,12/4/2014 0:00,Large,490,Phone Call,Business,6
A000044,S000189,9/14/2017 0:00,9/16/2017 0:00,Small,470,Online,Business,2
A000044,S000190,7/24/2014 0:00,7/24/2014 0:00,Small,359,Online,Leisure,0
A000044,S000191,10/18/2014 0:00,10/23/2014 0:00,Small,225,Phone Call,Leisure,5
A000044,S000192,8/13/2015 0:00,8/18/2015 0:00,Large,407,Phone Call,Business,5
A000045,S000193,7/24/2014 0:00,7/28/2014 0:00,Large,128,Phone Call,Leisure,4
A000046,S000194,3/10/2017 0:00,3/15/2017 0:00,Large,420,Online,Business,5
A000046,S000195,5/30/2017 0:00,6/1/2017 0:00,Large,395,Online,Business,2
A000046,S000196,5/2/2014 0:00,5/7/2014 0:00,Large,152,Online,Leisure,5
A000046,S000197,7/22/2017 0:00,7/25/2017 0:00,Large,338,Online,Business,3
A000047,S000198,11/30/2014 0:00,12/1/2014 0:00,Small,199,Phone Call,Leisure,1
A000047,S000199,8/10/2015 0:00,8/12/2015 0:00,Large,123,Online,Business,2
A000048,S000200,1/20/2014 0:00,1/24/2014 0:00,Large,131,Online,Leisure,4
A000049,S000201,10/2/2014 0:00,10/3/2014 0:00,Large,122,Phone Call,Business,1
A000050,S000202,10/5/2016 0:00,10/9/2016 0:00,Large,185,Online,Leisure,4
A000050,S000203,5/27/2014 0:00,5/28/2014 0:00,Large,246,Phone Call,Leisure,1
A000051,S000204,10/27/2015 0:00,10/29/2015 0:00,Small,163,Phone Call,Leisure,2
A000051,S000205,4/2/2015 0:00,4/3/2015 0:00,Small,168,Phone Call,Leisure,1
A000052,S000206,6/18/2015 0:00,6/18/2015 0:00,Small,415,Online,Business,0
A000052,S000207,2/25/2015 0:00,3/1/2015 0:00,Small,153,Online,Leisure,4
A000052,S000208,10/21/2014 0:00,10/27/2014 0:00,Small,404,Online,Leisure,6
A000052,S000209,11/27/2015 0:00,12/2/2015 0:00,Large,462,Online,Business,5
A000052,S000210,12/24/2016 0:00,12/29/2016 0:00,Large,381,Online,Business,5
A000052,S000211,5/19/2016 0:00,5/20/2016 0:00,Small,187,Online,Leisure,1
A000052,S000212,10/22/2014 0:00,10/27/2014 0:00,Small,198,Phone Call,Business,5
A000052,S000213,9/1/2017 0:00,9/1/2017 0:00,Small,387,Online,Leisure,0
A000052,S000214,6/1/2016 0:00,6/7/2016 0:00,Large,100,Online,Business,6
A000053,S000215,6/11/2016 0:00,6/16/2016 0:00,Large,372,Online,Business,5
A000053,S000216,5/3/2016 0:00,5/8/2016 0:00,Large,385,Online,Business,5
A000053,S000217,7/6/2014 0:00,7/8/2014 0:00,Small,184,Online,Leisure,2
A000053,S000218,10/22/2016 0:00,10/24/2016 0:00,Small,451,Online,Business,2
A000053,S000219,2/28/2015 0:00,3/6/2015 0:00,Small,218,Online,Business,6
A000053,S000220,5/30/2017 0:00,6/5/2017 0:00,Large,100,Online,Leisure,6
A000053,S000221,4/7/2015 0:00,4/7/2015 0:00,Large,130,Phone Call,Business,0
A000053,S000222,8/19/2017 0:00,8/23/2017 0:00,Small,98,Online,Business,4
A000054,S000223,5/21/2015 0:00,5/23/2015 0:00,Small,171,Phone Call,Leisure,2
A000054,S000224,11/5/2014 0:00,11/8/2014 0:00,Small,249,Online,Business,3
A000055,S000225,6/27/2015 0:00,6/29/2015 0:00,Large,239,Online,Business,2
A000055,S000226,6/9/2015 0:00,6/12/2015 0:00,Large,393,Online,Business,3
A000055,S000227,9/6/2016 0:00,9/8/2016 0:00,Large,217,Online,Leisure,2
A000055,S000228,7/14/2015 0:00,7/19/2015 0:00,Large,478,Phone Call,Business,5
A000056,S000229,10/28/2014 0:00,10/30/2014 0:00,Small,155,Online,Leisure,2
A000057,S000230,8/13/2016 0:00,8/17/2016 0:00,Large,203,Phone Call,Leisure,4
A000057,S000231,2/27/2015 0:00,3/2/2015 0:00,Small,159,Phone Call,Business,3
A000058,S000232,9/14/2014 0:00,9/20/2014 0:00,Large,185,Online,Leisure,6
A000058,S000233,12/25/2017 0:00,12/30/2017 0:00,Large,409,Phone Call,Business,5
A000058,S000234,6/19/2015 0:00,6/24/2015 0:00,Large,120,Online,Business,5
A000058,S000235,12/26/2014 0:00,1/1/2015 0:00,Large,406,Phone Call,Business,6
A000058,S000236,3/5/2016 0:00,3/11/2016 0:00,Large,434,Phone Call,Business,6
A000058,S000237,9/2/2017 0:00,9/2/2017 0:00,Small,388,Phone Call,Business,0
A000058,S000238,10/8/2014 0:00,10/13/2014 0:00,Small,292,Online,Business,5
A000058,S000239,3/7/2016 0:00,3/10/2016 0:00,Large,218,Phone Call,Business,3
A000058,S000240,11/5/2015 0:00,11/5/2015 0:00,Small,94,Online,Business,0
A000059,S000241,12/30/2014 0:00,1/3/2015 0:00,Large,120,Phone Call,Business,4
A000059,S000242,10/14/2014 0:00,10/18/2014 0:00,Large,151,Online,Leisure,4
A000060,S000243,6/14/2016 0:00,6/18/2016 0:00,Large,389,Phone Call,Business,4
A000060,S000244,9/16/2017 0:00,9/18/2017 0:00,Large,340,Phone Call,Business,2
A000061,S000245,12/4/2016 0:00,12/5/2016 0:00,Large,243,Online,Business,1
A000061,S000246,1/23/2017 0:00,1/27/2017 0:00,Small,87,Online,Business,4
A000061,S000247,8/15/2015 0:00,8/16/2015 0:00,Large,314,Online,Business,1
A000061,S000248,6/13/2016 0:00,6/13/2016 0:00,Small,190,Online,Business,0
A000061,S000249,5/10/2014 0:00,5/10/2014 0:00,Small,309,Phone Call,Business,0
A000061,S000250,12/1/2016 0:00,12/4/2016 0:00,Large,94,Online,Business,3
A000061,S000251,5/7/2014 0:00,5/7/2014 0:00,Large,494,Online,Leisure,0
A000061,S000252,10/31/2016 0:00,11/4/2016 0:00,Small,159,Phone Call,Business,4
A000062,S000253,7/19/2014 0:00,7/23/2014 0:00,Large,240,Online,Business,4
A000063,S000254,7/15/2017 0:00,7/21/2017 0:00,Large,258,Online,Business,6
A000063,S000255,10/22/2015 0:00,10/27/2015 0:00,Small,400,Phone Call,Business,5
A000063,S000256,11/6/2015 0:00,11/7/2015 0:00,Large,403,Online,Business,1
A000063,S000257,4/28/2017 0:00,5/3/2017 0:00,Large,440,Online,Business,5
A000063,S000258,10/22/2014 0:00,10/22/2014 0:00,Large,344,Phone Call,Business,0
A000063,S000259,12/1/2015 0:00,12/4/2015 0:00,Small,342,Online,Business,3
A000063,S000260,8/7/2014 0:00,8/9/2014 0:00,Large,261,Online,Business,2
A000064,S000261,1/10/2016 0:00,1/14/2016 0:00,Large,416,Online,Business,4
A000064,S000262,6/3/2015 0:00,6/5/2015 0:00,Small,82,Phone Call,Business,2
A000064,S000263,11/30/2017 0:00,12/1/2017 0:00,Small,225,Online,Business,1
A000064,S000264,3/30/2015 0:00,4/5/2015 0:00,Large,333,Phone Call,Leisure,6
A000064,S000265,11/22/2017 0:00,11/27/2017 0:00,Small,439,Online,Business,5
A000064,S000266,4/29/2016 0:00,5/1/2016 0:00,Small,498,Online,Leisure,2
A000064,S000267,9/26/2016 0:00,9/28/2016 0:00,Small,324,Online,Business,2
A000064,S000268,11/14/2017 0:00,11/18/2017 0:00,Large,148,Online,Business,4
A000064,S000269,6/14/2017 0:00,6/17/2017 0:00,Large,477,Online,Leisure,3
A000065,S000270,12/14/2015 0:00,12/16/2015 0:00,Large,183,Phone Call,Leisure,2
A000066,S000271,11/8/2016 0:00,11/13/2016 0:00,Large,350,Online,Business,5
A000067,S000272,10/4/2016 0:00,10/5/2016 0:00,Small,171,Phone Call,Leisure,1
A000067,S000273,8/30/2016 0:00,9/1/2016 0:00,Large,139,Phone Call,Leisure,2
A000068,S000274,7/31/2016 0:00,8/1/2016 0:00,Small,401,Online,Business,1
A000069,S000275,3/27/2015 0:00,4/2/2015 0:00,Large,469,Online,Business,6
A000069,S000276,6/17/2017 0:00,6/23/2017 0:00,Large,495,Phone Call,Business,6
A000069,S000277,6/11/2016 0:00,6/17/2016 0:00,Large,405,Online,Leisure,6
A000069,S000278,1/19/2017 0:00,1/19/2017 0:00,Large,224,Online,Leisure,0
A000069,S000279,11/25/2014 0:00,12/1/2014 0:00,Large,82,Online,Leisure,6
A000070,S000280,2/7/2016 0:00,2/7/2016 0:00,Small,161,Phone Call,Business,0
A000070,S000281,7/28/2015 0:00,7/30/2015 0:00,Small,128,Phone Call,Leisure,2
A000071,S000282,2/6/2015 0:00,2/12/2015 0:00,Small,383,Phone Call,Business,6
A000071,S000283,6/23/2016 0:00,6/24/2016 0:00,Small,380,Online,Leisure,1
A000071,S000284,7/22/2016 0:00,7/27/2016 0:00,Small,444,Online,Business,5
A000071,S000285,6/21/2014 0:00,6/27/2014 0:00,Small,157,Online,Business,6
A000071,S000286,4/28/2015 0:00,5/3/2015 0:00,Large,440,Phone Call,Leisure,5
A000071,S000287,3/9/2015 0:00,3/10/2015 0:00,Large,263,Online,Business,1
A000072,S000288,6/20/2017 0:00,6/22/2017 0:00,Large,81,Online,Leisure,2
A000072,S000289,1/20/2017 0:00,1/23/2017 0:00,Small,305,Online,Leisure,3
A000072,S000290,5/11/2015 0:00,5/14/2015 0:00,Small,399,Online,Business,3
A000072,S000291,8/21/2017 0:00,8/27/2017 0:00,Large,90,Phone Call,Business,6
A000073,S000292,4/15/2016 0:00,4/15/2016 0:00,Large,156,Online,Business,0
A000073,S000293,8/9/2017 0:00,8/11/2017 0:00,Small,167,Phone Call,Leisure,2
A000073,S000294,1/15/2017 0:00,1/16/2017 0:00,Large,391,Online,Business,1
A000073,S000295,5/29/2017 0:00,6/2/2017 0:00,Large,441,Phone Call,Business,4
A000073,S000296,5/23/2016 0:00,5/26/2016 0:00,Large,402,Phone Call,Business,3
A000073,S000297,9/24/2016 0:00,9/24/2016 0:00,Large,204,Online,Business,0
A000073,S000298,9/22/2014 0:00,9/27/2014 0:00,Small,373,Online,Business,5
A000074,S000299,8/30/2015 0:00,9/4/2015 0:00,Small,493,Phone Call,Leisure,5
A000074,S000300,1/12/2014 0:00,1/14/2014 0:00,Large,384,Phone Call,Business,2
A000074,S000301,5/7/2015 0:00,5/13/2015 0:00,Small,228,Online,Leisure,6
A000074,S000302,5/18/2017 0:00,5/22/2017 0:00,Large,198,Phone Call,Business,4
A000074,S000303,11/27/2017 0:00,11/28/2017 0:00,Small,298,Online,Business,1
A000074,S000304,7/16/2014 0:00,7/17/2014 0:00,Small,478,Online,Business,1
A000074,S000305,7/3/2017 0:00,7/5/2017 0:00,Large,423,Phone Call,Leisure,2
A000075,S000306,11/18/2015 0:00,11/20/2015 0:00,Large,227,Phone Call,Business,2
A000075,S000307,11/7/2017 0:00,11/13/2017 0:00,Large,170,Online,Business,6
A000075,S000308,9/18/2014 0:00,9/22/2014 0:00,Small,177,Phone Call,Leisure,4
A000075,S000309,9/3/2017 0:00,9/4/2017 0:00,Large,362,Phone Call,Business,1
